aircraft_type,mtow,mlw,oew,mfc,vmo,mmo,ceiling,source,range
A19N,75500,62500,42600,29700,350,0.82,12500,openap,
A20N,79000,66000,44300,29700,350,0.82,12500,openap,
A21N,97000,77800,50000,33000,350,0.82,12500,openap,
A318,68000,57500,39500,24210,350,0.82,12500,openap,
A319,75500,62500,40800,30190,350,0.82,12500,openap,
A320,78000,66000,42600,24210,350,0.82,12500,openap,
A321,93500,77800,48500,30030,350,0.82,12500,openap,
A332,230000,182000,120200,139000,330,0.86,12500,openap,
A333,242000,188000,122780,139000,330,0.86,12500,openap,
A343,276000,190000,130000,147850,330,0.86,12500,openap,
A359,280000,205000,142400,140795,340,0.89,13100,openap,
A388,560000,386000,277000,320000,340,0.89,13100,openap,
B37M,80000,60000,45000,26000,340,0.82,12500,openap,
B38M,82000,66300,45000,26000,340,0.82,12500,openap,
B39M,88000,71000,45000,26000,340,0.82,12500,openap,
B3XM,90000,70000,45000,26000,340,0.82,12500,openap,
B734,68000,56200,33700,20000,340,0.82,12500,openap,
B737,70000,58600,37600,26000,340,0.82,12500,openap,
B738,79000,66300,41400,26000,340,0.82,12500,openap,
B739,85100,71300,44600,26000,340,0.82,12500,openap,
B744,396800,260300,182400,203500,365,0.92,13700,openap,
B748,447700,312100,220100,238600,365,0.92,13100,openap,
B752,115600,92200,58400,43500,350,0.86,12800,openap,
B763,158700,136000,90000,63200,360,0.86,13100,openap,
B772,297000,213000,138000,171000,330,0.89,13100,openap,
B773,299300,237600,160500,171200,330,0.89,13100,openap,
B77W,351500,251300,167800,181300,330,0.89,13100,openap,
B788,228000,172000,119000,126200,515,0.9,13100,openap,
B789,254000,193000,128000,126400,515,0.9,13100,openap,
C550,6849,6804,3655,2204,270,0.7,13100,openap,
E145,22000,19300,12110,5136,320,0.78,11300,openap,
E170,34200,32800,21140,9335,320,0.82,12500,openap,
E190,50300,43000,27753,16153,320,0.82,12500,openap,
E195,50790,45000,28583,16153,320,0.82,12500,openap,
E75L,38790,34000,21890,11625,320,0.82,12500,openap,
GLF6,45200,37900,24000,21000,,0.925,16000,openap,
A310,164000,,77400,47940,,0.84,12527,wikipedia,9540
AT76,22800,,13010,5000,279,,7600,wikipedia,1403
BCS1,63100,,35220,,,0.82,12500,wikipedia,6700
BCS3,70900,,37080,,,0.82,12500,wikipedia,6300
CRJ9,38330,,21845,8888,,0.82,12479,wikipedia,2871
C56X,9163,,5806,,,,13716,wikipedia,3441
E290,56400,,33000,13690,,0.82,12000,wikipedia,5280
